Mont-Saint-Jean,21110
Bussy-le-Grand,21110
Thoires,21110
Brazey-en-Plaine,21110
Bligny-le-Sec,21110
La Bussière-sur-Ouche,21110
Rochefort-sur-Brévon,21110
Flavignerot,21110
Viévy,21110
Santenay,21110
Santosse,21110
Fontaine-lès-Dijon,21110
Benoisey,21110
Rouvres-en-Plaine,21110
Bligny-lès-Beaune,21110
Le Fête,21110
Bierre-lès-Semur,21110
Sincey-lès-Rouvray,21110
Ladoix-Serrigny,21110
La Chaume,21110
Meulson,21110
Belleneuve,21110
Saint-Aubin,21110
Marcilly-sur-Tille,21110
Corrombles,21110
Gurgy-la-Ville,21110
Baigneux-les-Juifs,21110
Beaunotte,21110
Noidan,21120
Sacquenay,21120
Arc-sur-Tille,21120
Chaignay,21120
Brion-sur-Ource,21120
Grosbois-en-Montagne,21120
Moitron,21120
Fauverney,21120
Échevannes,21120
Labergement-lès-Seurre,21120
Diénay,21120
La Rochepot,21120
Busserotte-et-Montenaille,21120
Saint-Maurice-sur-Vingeanne,21120
Morey-Saint-Denis,21120
Braux,21120
Aiserey,21120
Nan-sous-Thil,21120
Aisy-sous-Thil,21120
Terrefondrée,21120
Éringes,21120
Chazeuil,21120
Fontenelle,21121
Prâlon,21121
Saint-Seine-en-Bâche,21121
Mussy-la-Fosse,21121
Athie,21121
Juilly,21121
Tarsul,21121
Courcelles-Frémoy,21130
Bure-les-Templiers,21130
Fénay,21130
Thury,21130
L'Étang-Vergy,21130
Semond,21130
Villers-la-Faye,21130
Saint-Martin-du-Mont,21130
Ternant,21130
Griselles,21130
Châteauneuf,21130
Aubigny-la-Ronce,21130
Messanges,21130
Pouillenay,21130
Veuvey-sur-Ouche,21130
Mirebeau-sur-Bèze,21130
Grancey-sur-Ource,21140
Arceau,21140
Prusly-sur-Ource,21140
Chassey,21140
Torcy-et-Pouligny,21140
Talant,21140
Magny-Saint-Médard,21140
Pasques,21140
Remilly-sur-Tille,21140
Saint-Rémy,21140
Daix,21140
Saint-Anthot,21140
